make,transmission,state,condition,odometer,auction_value,selling_price
nissan,automatic,md,4.8,,14350.0,13600.0
ford,automatic,mo,3.7,29398.0,17600.0,17100.0
ford,automatic,fl,3.2,32180.0,19100.0,17600.0
nissan,automatic,ca,,30798.0,11950.0,10700.0
ford,automatic,nj,2.8,29526.0,28000.0,26100.0
dodge,automatic,fl,3.8,38841.0,12550.0,12600.0
ford,automatic,il,4.4,25379.0,15900.0,17200.0
ford,automatic,ca,3.4,66351.0,20300.0,19500.0
chrysler,automatic,fl,2,61736.0,13200.0,12800.0
,automatic,ca,4.3,37518.0,10950.0,11500.0
honda,automatic,,3.4,49793.0,10250.0,10800.0
ford,automatic,,5,58664.0,22300.0,24400.0
ford,automatic,fl,2.8,66470.0,10300.0,10100.0
chevrolet,automatic,fl,3,24673.0,23700.0,24000.0
honda,automatic,nv,4.2,44452.0,17300.0,21300.0
,automatic,ca,3,44963.0,37300.0,37750.0
,,ca,3.7,43297.0,22200.0,25750.0
kia,automatic,wi,4.4,24647.0,14900.0,14000.0
nissan,automatic,va,3.5,92266.0,5750.0,6400.0
honda,,nj,3.5,29434.0,11700.0,12600.0
nissan,automatic,nj,2.9,52624.0,15850.0,14600.0
hyundai,manual,pr,4.4,14609.0,14250.0,18300.0
nissan,automatic,nj,3.7,55116.0,10700.0,10800.0
toyota,,nc,3.5,,6525.0,7000.0
kia,automatic,pa,3.2,29107.0,11650.0,11400.0
hyundai,automatic,,3.8,,10600.0,10100.0
bmw,automatic,fl,4.2,,,24700.0
chevrolet,,mn,3.7,43662.0,10950.0,11500.0
ford,automatic,ny,4.8,,,19500.0
hyundai,automatic,ca,4.5,45113.0,11000.0,11400.0
chevrolet,automatic,nv,3.5,97392.0,4625.0,4900.0
,automatic,ca,4.3,42615.0,19050.0,19800.0
ford,automatic,nj,2.9,53368.0,,8500.0
ford,automatic,mo,4.3,22889.0,22700.0,23000.0
ford,automatic,,4.8,31781.0,12850.0,13400.0
chevrolet,automatic,mo,4.4,34421.0,24200.0,24600.0
toyota,automatic,ca,3.4,,,14900.0
toyota,automatic,nv,3.6,14653.0,15500.0,15900.0
hyundai,automatic,ma,3.2,,9825.0,8000.0
chevrolet,automatic,tn,4.1,65647.0,8700.0,11000.0
chevrolet,automatic,fl,3.7,72719.0,8125.0,7400.0
ford,automatic,,4.8,25887.0,35300.0,38100.0
ford,automatic,md,4.8,19716.0,22100.0,22200.0
bmw,automatic,nj,5,5475.0,34700.0,36250.0
chevrolet,automatic,nj,3.2,53581.0,,12100.0
toyota,automatic,oh,4.3,45079.0,13400.0,12800.0
hyundai,automatic,mn,,15832.0,11700.0,12500.0
,automatic,fl,4.3,31125.0,15600.0,14600.0
honda,automatic,fl,4.1,18571.0,18450.0,19000.0
nissan,automatic,tn,4.4,20828.0,18100.0,17900.0
nissan,automatic,tx,4.2,28406.0,17400.0,18800.0
ford,automatic,il,4.3,36555.0,21200.0,21800.0
nissan,,tn,3.5,,17150.0,16900.0
ford,automatic,tn,4.4,35399.0,,16900.0
hyundai,automatic,nj,4.8,20370.0,12850.0,11500.0
nissan,automatic,il,4,53892.0,11000.0,11100.0
honda,automatic,pa,3.7,36539.0,13300.0,13000.0
honda,automatic,pa,3.6,39039.0,20600.0,21000.0
kia,automatic,oh,4.9,16128.0,14050.0,13600.0
nissan,,pa,,,,14300.0
ford,,fl,4,77119.0,16000.0,17900.0
ford,automatic,mi,4.7,,13050.0,13500.0
,,oh,3.4,23681.0,10900.0,10400.0
toyota,automatic,ga,4.2,35745.0,13250.0,14000.0
hyundai,automatic,fl,2.8,85808.0,9525.0,9800.0
chevrolet,automatic,ca,2.5,39700.0,22900.0,22000.0
dodge,automatic,,3.7,72871.0,10750.0,11600.0
ford,automatic,,2.8,25578.0,26500.0,25600.0
honda,automatic,tx,3.7,92904.0,20400.0,18000.0
dodge,automatic,fl,3.8,,10900.0,12000.0
ford,automatic,il,3.6,28315.0,,16500.0
ford,,mo,,9644.0,,16000.0
honda,automatic,pa,1.9,22751.0,21200.0,20500.0
hyundai,automatic,ca,4.8,20663.0,19500.0,19200.0
kia,automatic,ga,4.3,80289.0,9050.0,9800.0
ford,automatic,tx,4.1,50145.0,9225.0,9200.0
dodge,automatic,ca,3.2,63884.0,11850.0,12000.0
nissan,automatic,fl,,25029.0,19050.0,18700.0
honda,,pa,2.4,48728.0,14800.0,14600.0
,,,4.3,36731.0,17600.0,17800.0
ford,automatic,ca,2.8,107271.0,,8750.0
ford,automatic,tx,4.3,93647.0,,34500.0
,automatic,nj,3.5,29858.0,12250.0,13000.0
dodge,automatic,fl,3.8,104917.0,9950.0,8800.0
,automatic,nj,4.9,3986.0,48900.0,49250.0
ford,automatic,az,3.1,103545.0,10100.0,9500.0
honda,automatic,az,3.8,90738.0,10250.0,12750.0
ford,automatic,tn,4.7,,38200.0,39000.0
toyota,automatic,tx,,22586.0,,11500.0
nissan,automatic,az,3.5,55574.0,14350.0,12400.0
nissan,automatic,il,2.9,33511.0,12400.0,13000.0
toyota,,ms,4.4,,10050.0,10900.0
dodge,,fl,4.1,20984.0,18650.0,20600.0
honda,automatic,ca,,76120.0,8425.0,10400.0
hyundai,automatic,ca,3.1,36164.0,13250.0,13700.0
chevrolet,automatic,ga,3.8,,26700.0,27800.0
ford,automatic,mn,1.9,120314.0,14350.0,14000.0
chevrolet,automatic,tx,3.6,42720.0,16900.0,13400.0
ford,automatic,il,4.5,18733.0,17450.0,17400.0
toyota,automatic,wi,2,46106.0,15600.0,13300.0
ford,automatic,ca,3.2,68827.0,8875.0,8400.0
nissan,automatic,tx,3.4,70836.0,10050.0,11400.0
chevrolet,automatic,nc,3.3,77103.0,8450.0,8700.0
chrysler,automatic,,4.4,35469.0,22700.0,23900.0
ford,automatic,tx,2.9,22904.0,24900.0,23500.0
bmw,,oh,3.6,57477.0,17300.0,16750.0
chevrolet,automatic,ga,3.8,30418.0,10550.0,10800.0
nissan,automatic,ca,3.8,33776.0,13450.0,15000.0
dodge,,co,4.4,25856.0,18700.0,18300.0
ford,automatic,oh,4.3,33410.0,24400.0,25100.0
nissan,automatic,,4.6,37705.0,13250.0,13500.0
,automatic,pa,,31154.0,12600.0,13000.0
chevrolet,automatic,fl,4.9,13565.0,50900.0,49900.0
dodge,automatic,va,1.9,,7700.0,7700.0
ford,automatic,tx,3.8,53979.0,9150.0,10000.0
chrysler,automatic,fl,4,22624.0,22400.0,21000.0
nissan,automatic,pa,4.4,38441.0,15850.0,17000.0
ford,automatic,pa,2.7,26965.0,17550.0,15400.0
toyota,automatic,fl,4.4,6392.0,14850.0,15600.0
ford,,fl,4.2,20525.0,12450.0,12000.0
ford,automatic,il,4.4,34422.0,24000.0,26900.0
honda,automatic,il,2.9,38566.0,11050.0,9900.0
ford,automatic,,3.4,33996.0,23300.0,23300.0
nissan,automatic,ga,4.5,,18000.0,18000.0
,automatic,,,65769.0,19200.0,21300.0
chevrolet,automatic,mo,3.2,66012.0,15200.0,16500.0
ford,automatic,ca,2.7,46324.0,10450.0,10800.0
bmw,automatic,fl,4.3,46314.0,20900.0,20400.0
chevrolet,automatic,oh,4.4,100371.0,24200.0,24500.0
,automatic,oh,5,10045.0,20200.0,19100.0
ford,automatic,co,4.7,31765.0,,29500.0
ford,automatic,nv,1.9,46565.0,,16600.0
kia,manual,oh,4.5,14978.0,11200.0,10600.0
ford,automatic,tx,,69133.0,7150.0,7800.0
toyota,,fl,2,22994.0,14200.0,13200.0
bmw,automatic,nc,5,44509.0,33900.0,33700.0
ford,automatic,oh,3.5,78655.0,,25700.0
chevrolet,automatic,ca,4.1,55674.0,31800.0,33000.0
ford,automatic,mi,4.8,11827.0,,11600.0
chevrolet,automatic,fl,4.4,34347.0,8975.0,9300.0
chevrolet,manual,mn,4.4,26419.0,9350.0,10500.0
ford,automatic,nj,2.7,23534.0,23600.0,20600.0
chrysler,automatic,oh,4.5,17789.0,22800.0,19500.0
chevrolet,automatic,fl,4,16093.0,14650.0,15600.0
kia,automatic,ca,5,7314.0,12150.0,12000.0
hyundai,automatic,pa,4.9,9.0,13400.0,13800.0
,automatic,ny,4.7,10771.0,19650.0,23500.0
nissan,automatic,ca,1.9,27181.0,9500.0,8500.0
ford,automatic,,5,,20800.0,23200.0
nissan,automatic,tx,1.9,98725.0,13150.0,4000.0
dodge,automatic,va,3,43184.0,9425.0,9300.0
,automatic,tx,3.9,63485.0,,10100.0
toyota,automatic,pa,4.1,57046.0,10050.0,10400.0
toyota,automatic,fl,2.3,,10700.0,10000.0
,automatic,tn,3.7,69923.0,18550.0,18800.0
chevrolet,automatic,pa,3.1,41060.0,11150.0,10600.0
ford,automatic,fl,3.7,64747.0,10300.0,10500.0
ford,automatic,mo,3.7,75258.0,8200.0,7100.0
hyundai,automatic,ca,5,12741.0,33400.0,31750.0
nissan,automatic,nv,2.9,49060.0,,8900.0
nissan,automatic,il,3.7,9350.0,26200.0,23700.0
dodge,,fl,5,,18750.0,19000.0
